# mapping_set_id: https://w3id.org/commons/ols/mappings/efo.ols.sssom.tsv
# mapping_set_group: ols_sssom_extracts
# mapping_set_confidence: '0.7'
# other:
#   mapping_set_source: https://www.ebi.ac.uk/ols4/ontologies/efo
#   local_id: efo.ols
# local_name: efo.ols.sssom.tsv
# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   owl: http://www.w3.org/2002/07/owl#
#   skos: http://www.w3.org/2004/02/skos/core#
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   chebi: http://purl.obolibrary.org/obo/chebi/
#   inchi: 'https://bioregistry.io/inchi:'
#   inchikey: 'https://bioregistry.io/inchikey:'
#   smiles: 'https://bioregistry.io/smiles:'
#   EFO: http://purl.obolibrary.org/obo/EFO_
#   PMID: http://www.ncbi.nlm.nih.gov/pubmed/
#   EFO_2: http://www.ebi.ac.uk/efo/EFO_
#   MO: http://purl.obolibrary.org/obo/MO_
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   SCTID: http://snomed.info/id/
#   MESH: http://id.nlm.nih.gov/mesh/
#   MedDRA: http://bioportal.bioontology.org/ontologies/MEDDRA?p=classes&conceptid=
#   OMIM: https://omim.org/entry/
#   Orphanet: http://www.orpha.net/consor/cgi-bin/OC_Exp.php?Lng=EN&Expert=
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   CL: http://purl.obolibrary.org/obo/CL_
#   NCIt: http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=
#   DOID_2: 'https://www.ebi.ac.uk/ols/ontologies/doid/terms?obo_id=DOID:'
#   BTO: http://purl.obolibrary.org/obo/BTO_
#   EHDAA: http://purl.obolibrary.org/obo/EHDAA_
#   EMAPA: http://purl.obolibrary.org/obo/EMAPA_
#   FMA: http://purl.obolibrary.org/obo/FMA_
#   MA: http://purl.obolibrary.org/obo/MA_
#   MAT: http://purl.obolibrary.org/obo/MAT_
#   TAO: http://purl.obolibrary.org/obo/TAO_
#   ZFA: http://purl.obolibrary.org/obo/ZFA_
#   XAO: http://purl.obolibrary.org/obo/XAO_
#   MeSH: http://id.nlm.nih.gov/mesh/
#   SNOMEDCT: http://snomed.info/id/
#   ICD10: https://icd.who.int/browse10/2019/en#/
#   ICD9: http://www.icd9data.com/getICD9Code.ashx?icd9=
#   Wikipedia: http://en.wikipedia.org/wiki/
#   HGNC: 'https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:'
#   HP: http://purl.obolibrary.org/obo/HP_
#   NCIm: http://ncim.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20MetaThesaurus&code=
#   FBbt: http://purl.obolibrary.org/obo/FBbt_
#   TADS: http://purl.obolibrary.org/obo/TADS_
#   TGMA: http://purl.obolibrary.org/obo/TGMA_
#   OMIMPS: https://omim.org/MIM:PS
#   AAO: http://purl.obolibrary.org/obo/AAO_
#   WBbt: http://purl.obolibrary.org/obo/WBbt_
#   ICD10CM: https://icd.codes/icd10cm/
#   MP: http://purl.obolibrary.org/obo/MP_
#   OGMS: http://purl.obolibrary.org/obo/OGMS_
#   PO: http://purl.obolibrary.org/obo/PO_
#   ICD10WHO: https://icd.who.int/browse10/2019/en#/
#   MA_2: 'http://www.informatics.jax.org/searches/AMA.cgi?id=MA:'
#   CLO: http://purl.obolibrary.org/obo/CLO_
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   FBdv: http://purl.obolibrary.org/obo/FBdv_
#   WBls: http://purl.obolibrary.org/obo/WBls_
#   ZFS: http://purl.obolibrary.org/obo/ZFS_
#   JAX: https://www.jax.org/strain/
#   RGD: https://rgd.mcw.edu/rgdweb/search/search.html?term=
#   IDOMAL: http://purl.obolibrary.org/obo/IDOMAL_
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   HP_2: 'https://hpo.jax.org/app/browse/term/HP:'
#   DSSTox_Generic_SID: https://pubchem.ncbi.nlm.nih.gov/substance/
#   DSSTox_CID: https://pubchem.ncbi.nlm.nih.gov/compound/
#   MFOMD: http://purl.obolibrary.org/obo/MFOMD_
#   OBI: http://purl.obolibrary.org/obo/OBI_
#   GO: http://purl.obolibrary.org/obo/GO_
#   CMO: http://purl.obolibrary.org/obo/CMO_
#   coriell: http://ccr.coriell.org/Sections/Search/Sample_Detail.aspx?Ref=
#   SCTID_2010_1_31: http://snomed.info/id/
#   ATC_code: http://www.whocc.no/atc_ddd_index/?code=
#   IDO: http://purl.obolibrary.org/obo/IDO_
#   UniProt: https://purl.uniprot.org/uniprot/
#   MmusDv: http://purl.obolibrary.org/obo/MmusDv_
#   ORDO: http://www.orpha.net/ORDO/Orphanet_
#   ERO: http://purl.obolibrary.org/obo/ERO_
#   BAO: http://bioportal.bioontology.org/ontologies/BAO/bao:BAO_
#   FBDV: http://purl.obolibrary.org/obo/FBdv_
#   FMA_2: 'https://www.ebi.ac.uk/ols/ontologies/fma/terms?obo_id=FMA:'
#   HsapDv: http://purl.obolibrary.org/obo/HsapDv_
#   doi: http://dx.doi.org/
#   pubchem.compound: https://pubchem.ncbi.nlm.nih.gov/compound/
#   OAE: http://purl.obolibrary.org/obo/OAE_
#   snomedct: http://snomed.info/id/
#   uniprot.disease: https://www.uniprot.org/diseases/
#   Reactome: https://www.reactome.org/content/detail/
#   HMDB: http://www.hmdb.ca/metabolites/
#   MedGen: https://www.ncbi.nlm.nih.gov/medgen/
#   SYMP: http://purl.obolibrary.org/obo/SYMP_
#   OMIT: http://purl.obolibrary.org/obo/OMIT_
#   CHMO: http://purl.obolibrary.org/obo/CHMO_
#   PRIDE: http://purl.obolibrary.org/obo/PRIDE_
#   MEDGEN: https://www.ncbi.nlm.nih.gov/medgen/
#   CLO_2: https://www.ebi.ac.uk/ols/ontologies/clo/terms?short_form=CLO_
#   hpscreg: https://hpscreg.eu/cell-line/
#   jax: https://www.jax.org/strain/
#   ENM: http://purl.enanomapper.org/onto/ENM_
#   NPO: http://purl.bioontology.org/ontology/npo#NPO_
#   TXPO: http://purl.obolibrary.org/obo/TXPO_
#   Medgen: https://www.ncbi.nlm.nih.gov/medgen/
#   MGI: http://www.informatics.jax.org/accession/
#   PubChem: https://pubchem.ncbi.nlm.nih.gov/compound/
#   VT: http://purl.obolibrary.org/obo/VT_
#   PR: http://purl.obolibrary.org/obo/PR_
#   T3DB: http://www.t3db.org/toxins/
#   DERMO: http://purl.obolibrary.org/obo/DERMO_
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
EFO:0011021	oboInOwl:hasDbXref	PMID:33597508	semapv:UnspecifiedMatching	BRCA1 mutation carier status	
EFO:0011022	oboInOwl:hasDbXref	PMID:33597508	semapv:UnspecifiedMatching	BRCA2 mutation carier statu	
EFO_2:0000001	oboInOwl:hasDbXref	MO:10	semapv:UnspecifiedMatching	experimental factor	
EFO_2:0000094	oboInOwl:hasDbXref	DOID:0080630	semapv:UnspecifiedMatching	B-cell acute lymphoblastic leukemia	B-lymphoblastic leukemia/lymphoma
EFO_2:0000094	oboInOwl:hasDbXref	DOID:7061	semapv:UnspecifiedMatching	B-cell acute lymphoblastic leukemia	obsolete precursor B lymphoblastic lymphoma/leukemia
EFO_2:0000094	oboInOwl:hasDbXref	EFO_2:0000094	semapv:UnspecifiedMatching	B-cell acute lymphoblastic leukemia	B-cell acute lymphoblastic leukemia
EFO_2:0000094	oboInOwl:hasDbXref	MONDO:0004947	semapv:UnspecifiedMatching	B-cell acute lymphoblastic leukemia	B-cell acute lymphoblastic leukemia
EFO_2:0000094	oboInOwl:hasDbXref	NCIT:C8936	semapv:UnspecifiedMatching	B-cell acute lymphoblastic leukemia	B Lymphoblastic Leukemia/Lymphoma
EFO_2:0000094	oboInOwl:hasDbXref	SCTID:277571004	semapv:UnspecifiedMatching	B-cell acute lymphoblastic leukemia	
EFO_2:0000095	oboInOwl:hasDbXref	DOID:1040	semapv:UnspecifiedMatching	chronic lymphocytic leukemia	chronic lymphocytic leukemia
EFO_2:0000095	oboInOwl:hasDbXref	EFO_2:0000095	semapv:UnspecifiedMatching	chronic lymphocytic leukemia	chronic lymphocytic leukemia
EFO_2:0000095	oboInOwl:hasDbXref	GARD:0006104	semapv:UnspecifiedMatching	chronic lymphocytic leukemia	
EFO_2:0000095	oboInOwl:hasDbXref	MESH:D015451	semapv:UnspecifiedMatching	chronic lymphocytic leukemia	
EFO_2:0000095	oboInOwl:hasDbXref	MONDO:0004948	semapv:UnspecifiedMatching	chronic lymphocytic leukemia	B-cell chronic lymphocytic leukemia
EFO_2:0000095	oboInOwl:hasDbXref	MedDRA:10008958	semapv:UnspecifiedMatching	chronic lymphocytic leukemia	
EFO_2:0000095	oboInOwl:hasDbXref	NCIT:C3163	semapv:UnspecifiedMatching	chronic lymphocytic leukemia	Chronic Lymphocytic Leukemia
EFO_2:0000095	oboInOwl:hasDbXref	OMIM:151400	semapv:UnspecifiedMatching	chronic lymphocytic leukemia	
EFO_2:0000095	oboInOwl:hasDbXref	Orphanet:67038	semapv:UnspecifiedMatching	chronic lymphocytic leukemia	
EFO_2:0000095	oboInOwl:hasDbXref	UMLS:C0023434	semapv:UnspecifiedMatching	chronic lymphocytic leukemia	
EFO_2:0000095	oboInOwl:hasDbXref	UMLS:C0855095	semapv:UnspecifiedMatching	chronic lymphocytic leukemia	
EFO_2:0000096	oboInOwl:hasDbXref	DOID:706	semapv:UnspecifiedMatching	neoplasm of mature B-cells	mature B-cell neoplasm
EFO_2:0000096	oboInOwl:hasDbXref	EFO_2:0000096	semapv:UnspecifiedMatching	neoplasm of mature B-cells	neoplasm of mature B-cells
EFO_2:0000096	oboInOwl:hasDbXref	MONDO:0004949	semapv:UnspecifiedMatching	neoplasm of mature B-cells	neoplasm of mature B-cells
EFO_2:0000096	oboInOwl:hasDbXref	NCIT:C27910	semapv:UnspecifiedMatching	neoplasm of mature B-cells	Mature B-Cell Neoplasm
EFO_2:0000096	oboInOwl:hasDbXref	NCIT:C3457	semapv:UnspecifiedMatching	neoplasm of mature B-cells	B-Cell Non-Hodgkin Lymphoma
EFO_2:0000096	oboInOwl:hasDbXref	SCTID:269476000	semapv:UnspecifiedMatching	neoplasm of mature B-cells	
EFO_2:0000096	oboInOwl:hasDbXref	UMLS:C1334633	semapv:UnspecifiedMatching	neoplasm of mature B-cells	
EFO_2:0000097	oboInOwl:hasDbXref	CL:0000236	semapv:UnspecifiedMatching	obsolete_B-lymphocyte	B cell
EFO_2:0000097	oboInOwl:hasDbXref	NCIt:C12474	semapv:UnspecifiedMatching	obsolete_B-lymphocyte	
EFO_2:0000102	oboInOwl:hasDbXref	CL:0000236	semapv:UnspecifiedMatching	obsolete_B lymphocyte	B cell
EFO_2:0000102	oboInOwl:hasDbXref	NCIt:C12474	semapv:UnspecifiedMatching	obsolete_B lymphocyte	
EFO_2:0000103	oboInOwl:hasDbXref	DOID_2:14691	semapv:UnspecifiedMatching	obsolete_Becker's muscular dystrophy	
EFO_2:0000103	oboInOwl:hasDbXref	OMIM:300376	semapv:UnspecifiedMatching	obsolete_Becker's muscular dystrophy	
EFO_2:0000105	oboInOwl:hasDbXref	NCIt:C22609	semapv:UnspecifiedMatching	obsolete_CNS brain cerebellum MMHCC	
EFO_2:0000106	oboInOwl:hasDbXref	NCIt:C22615	semapv:UnspecifiedMatching	obsolete_CNS brain hippocampus MMHCC	
EFO_2:0000107	oboInOwl:hasDbXref	BTO:0000614	semapv:UnspecifiedMatching	obsolete_hypothalamus	hypothalamus
EFO_2:0000107	oboInOwl:hasDbXref	EHDAA:5446	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO_2:0000107	oboInOwl:hasDbXref	EMAPA:17536	semapv:UnspecifiedMatching	obsolete_hypothalamus	hypothalamus
EFO_2:0000107	oboInOwl:hasDbXref	FMA:62008	semapv:UnspecifiedMatching	obsolete_hypothalamus	Hypothalamus
EFO_2:0000107	oboInOwl:hasDbXref	MA:0000173	semapv:UnspecifiedMatching	obsolete_hypothalamus	hypothalamus
EFO_2:0000107	oboInOwl:hasDbXref	MAT:0000112	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO_2:0000107	oboInOwl:hasDbXref	NCIt:C22616	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO_2:0000107	oboInOwl:hasDbXref	TAO:0000032	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO_2:0000107	oboInOwl:hasDbXref	ZFA:0000032	semapv:UnspecifiedMatching	obsolete_hypothalamus	hypothalamus
EFO_2:0000108	oboInOwl:hasDbXref	BTO:0001362	semapv:UnspecifiedMatching	obsolete_olfactory lobe	olfactory lobe
EFO_2:0000108	oboInOwl:hasDbXref	EHDAA:5480	semapv:UnspecifiedMatching	obsolete_olfactory lobe	
EFO_2:0000108	oboInOwl:hasDbXref	EMAPA:17778	semapv:UnspecifiedMatching	obsolete_olfactory lobe	olfactory lobe
EFO_2:0000108	oboInOwl:hasDbXref	FMA:77624	semapv:UnspecifiedMatching	obsolete_olfactory lobe	Olfactory bulb
